hs_id,hs_name,front_url,side_url
HS01,Bro Flow,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS01_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS01_side.jpg
HS02,Brush Up,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS02_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS02_side.jpg
HS03,Buzz Cut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS03_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS03_side.jpg
HS04,Caesar Cut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS04_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS04_side.jpg
HS05,Classic Side Part,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS05_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS05_side.jpg
HS06,Classic Taper Cut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS06_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS06_side.jpg
HS07,Comb Over Fade,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS07_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS07_side.jpg
HS08,Crew Cut,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS08_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS08_side.jpg
HS09,Curly Drop Fade,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS09_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS09_side.jpg
HS10,Curly Fringe Fade,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS10_front.jpg,https://raw.githubusercontent.com/burakdirlikli/hairstyle-catalog-images/main/images/HS10_side.jpg
